"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30198","should save edits on blur","chromium","Wed Mar 05 00:48:15 GMT 2025","broken","Wed Mar 05 00:48:46 GMT 2025","Editing","demo-todo-app.spec.ts","",""
"","539","Login test for no user name","chromium","Wed Mar 05 00:47:17 GMT 2025","passed","Wed Mar 05 00:47:18 GMT 2025","","excel.spec.ts","",""
"","812","should display the correct text","chromium","Wed Mar 05 00:37:52 GMT 2025","passed","Wed Mar 05 00:37:53 GMT 2025","Clear completed button","demo-todo-app.spec.ts","",""
"","561","Login test for no password","chromium","Wed Mar 05 00:47:18 GMT 2025","passed","Wed Mar 05 00:47:18 GMT 2025","","excel.spec.ts","",""
"","30192","should remove completed items when clicked","chromium","Wed Mar 05 00:38:56 GMT 2025","broken","Wed Mar 05 00:39:26 GMT 2025","Clear completed button","demo-todo-app.spec.ts","",""
"","30186","should persist its data","chromium","Wed Mar 05 00:40:30 GMT 2025","broken","Wed Mar 05 00:41:00 GMT 2025","Persistence","demo-todo-app.spec.ts","",""
"","648","Login test for invalid password","chromium","Wed Mar 05 00:47:16 GMT 2025","passed","Wed Mar 05 00:47:16 GMT 2025","","excel.spec.ts","",""
"","30204","should allow me to display all items","chromium","Wed Mar 05 00:46:43 GMT 2025","broken","Wed Mar 05 00:47:13 GMT 2025","Routing","demo-todo-app.spec.ts","",""
"","6041","should allow me to clear the complete state of all items","chromium","Wed Mar 05 00:39:15 GMT 2025","failed","Wed Mar 05 00:39:21 GMT 2025","Mark all as completed","demo-todo-app.spec.ts","",""
"","30189","should remove the item if an empty text string was entered","chromium","Wed Mar 05 00:51:22 GMT 2025","broken","Wed Mar 05 00:51:52 GMT 2025","Editing","demo-todo-app.spec.ts","",""
"","32103","complete all checkbox should update state when items are completed / cleared","chromium","Wed Mar 05 00:40:27 GMT 2025","broken","Wed Mar 05 00:40:59 GMT 2025","Mark all as completed","demo-todo-app.spec.ts","",""
"","30194","should trim entered text","chromium","Wed Mar 05 00:49:49 GMT 2025","broken","Wed Mar 05 00:50:19 GMT 2025","Editing","demo-todo-app.spec.ts","",""
"","5557","should allow me to add todo items","chromium","Wed Mar 05 00:38:14 GMT 2025","failed","Wed Mar 05 00:38:20 GMT 2025","New Todo","demo-todo-app.spec.ts","",""
"","743","should highlight the currently applied filter","chromium","Wed Mar 05 00:47:14 GMT 2025","passed","Wed Mar 05 00:47:15 GMT 2025","Routing","demo-todo-app.spec.ts","",""
"","30196","should hide other controls when editing","chromium","Wed Mar 05 00:46:42 GMT 2025","broken","Wed Mar 05 00:47:12 GMT 2025","Editing","demo-todo-app.spec.ts","",""
"","6026","should allow me to mark all items as completed","chromium","Wed Mar 05 00:38:54 GMT 2025","failed","Wed Mar 05 00:39:00 GMT 2025","Mark all as completed","demo-todo-app.spec.ts","",""
"","30199","should respect the back button","chromium","Wed Mar 05 00:43:36 GMT 2025","broken","Wed Mar 05 00:44:06 GMT 2025","Routing","demo-todo-app.spec.ts","",""
"","30196","should allow me to mark items as complete","chromium","Wed Mar 05 00:42:02 GMT 2025","broken","Wed Mar 05 00:42:32 GMT 2025","Item","demo-todo-app.spec.ts","",""
"","5641","should append new items to the bottom of the list","chromium","Wed Mar 05 00:38:34 GMT 2025","failed","Wed Mar 05 00:38:39 GMT 2025","New Todo","demo-todo-app.spec.ts","",""
"","30196","should allow me to un-mark items as complete","chromium","Wed Mar 05 00:43:36 GMT 2025","broken","Wed Mar 05 00:44:06 GMT 2025","Item","demo-todo-app.spec.ts","",""
"","760","has title","chromium","Wed Mar 05 00:47:15 GMT 2025","passed","Wed Mar 05 00:47:16 GMT 2025","","example.spec.ts","",""
"","511","should clear text input field when an item is added","chromium","Wed Mar 05 00:38:20 GMT 2025","passed","Wed Mar 05 00:38:21 GMT 2025","New Todo","demo-todo-app.spec.ts","",""
"","30204","should allow me to display completed items","chromium","Wed Mar 05 00:45:09 GMT 2025","broken","Wed Mar 05 00:45:40 GMT 2025","Routing","demo-todo-app.spec.ts","",""
"","586","Login test for locked out user","chromium","Wed Mar 05 00:47:16 GMT 2025","passed","Wed Mar 05 00:47:17 GMT 2025","","excel.spec.ts","",""
"","751","should be hidden when there are no items that are completed","chromium","Wed Mar 05 00:39:27 GMT 2025","passed","Wed Mar 05 00:39:27 GMT 2025","Clear completed button","demo-todo-app.spec.ts","",""
"","30191","should allow me to display active items","chromium","Wed Mar 05 00:42:03 GMT 2025","broken","Wed Mar 05 00:42:33 GMT 2025","Routing","demo-todo-app.spec.ts","",""
"","30186","should allow me to edit an item","chromium","Wed Mar 05 00:45:09 GMT 2025","broken","Wed Mar 05 00:45:39 GMT 2025","Item","demo-todo-app.spec.ts","",""
