"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 28 00:34:48 GMT 2024","Sat Sep 28 00:34:49 GMT 2024","611","chromium","demo-todo-app.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Sat Sep 28 00:34:50 GMT 2024","Sat Sep 28 00:34:51 GMT 2024","585","chromium","demo-todo-app.spec.ts","Item","","","should allow me to mark items as complete",""
"passed","Sat Sep 28 00:34:53 GMT 2024","Sat Sep 28 00:34:54 GMT 2024","663","chromium","example.spec.ts","","","","has title",""
"passed","Sat Sep 28 00:34:52 GMT 2024","Sat Sep 28 00:34:52 GMT 2024","616","chromium","demo-todo-app.spec.ts","Editing","","","should hide other controls when editing",""
"passed","Sat Sep 28 00:34:46 GMT 2024","Sat Sep 28 00:34:47 GMT 2024","825","chromium","demo-todo-app.spec.ts","New Todo","","","should allow me to add todo items",""
"passed","Sat Sep 28 00:34:50 GMT 2024","Sat Sep 28 00:34:50 GMT 2024","645","chromium","demo-todo-app.spec.ts","Routing","","","should allow me to display active items",""
"passed","Sat Sep 28 00:34:48 GMT 2024","Sat Sep 28 00:34:48 GMT 2024","602","chromium","demo-todo-app.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Sat Sep 28 00:34:47 GMT 2024","Sat Sep 28 00:34:48 GMT 2024","568","chromium","demo-todo-app.spec.ts","Clear completed button","","","should display the correct text",""
"passed","Sat Sep 28 00:34:47 GMT 2024","Sat Sep 28 00:34:47 GMT 2024","489","chromium","demo-todo-app.spec.ts","Counter","","","should display the current number of todo items",""
"passed","Sat Sep 28 00:34:48 GMT 2024","Sat Sep 28 00:34:49 GMT 2024","596","chromium","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Sat Sep 28 00:34:47 GMT 2024","Sat Sep 28 00:34:48 GMT 2024","555","chromium","demo-todo-app.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"passed","Sat Sep 28 00:34:51 GMT 2024","Sat Sep 28 00:34:52 GMT 2024","641","chromium","demo-todo-app.spec.ts","Routing","","","should allow me to display completed items",""
"passed","Sat Sep 28 00:34:53 GMT 2024","Sat Sep 28 00:34:54 GMT 2024","579","chromium","demo-todo-app.spec.ts","Editing","","","should trim entered text",""
"passed","Sat Sep 28 00:34:45 GMT 2024","Sat Sep 28 00:34:46 GMT 2024","901","chromium","demo-todo-app.spec.ts","Editing","","","should cancel edits on escape",""
"passed","Sat Sep 28 00:34:51 GMT 2024","Sat Sep 28 00:34:51 GMT 2024","638","chromium","demo-todo-app.spec.ts","Item","","","should allow me to un-mark items as complete",""
"passed","Sat Sep 28 00:34:52 GMT 2024","Sat Sep 28 00:34:52 GMT 2024","707","chromium","demo-todo-app.spec.ts","Routing","","","should allow me to display all items",""
"passed","Sat Sep 28 00:34:52 GMT 2024","Sat Sep 28 00:34:53 GMT 2024","572","chromium","demo-todo-app.spec.ts","Editing","","","should save edits on blur",""
"passed","Sat Sep 28 00:34:52 GMT 2024","Sat Sep 28 00:34:53 GMT 2024","624","chromium","demo-todo-app.spec.ts","Routing","","","should highlight the currently applied filter",""
"passed","Sat Sep 28 00:34:49 GMT 2024","Sat Sep 28 00:34:50 GMT 2024","666","chromium","demo-todo-app.spec.ts","Persistence","","","should persist its data",""
"passed","Sat Sep 28 00:34:47 GMT 2024","Sat Sep 28 00:34:47 GMT 2024","439","chromium","demo-todo-app.spec.ts","New Todo","","","should clear text input field when an item is added",""
"passed","Sat Sep 28 00:34:54 GMT 2024","Sat Sep 28 00:34:54 GMT 2024","593","chromium","demo-todo-app.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"passed","Sat Sep 28 00:34:49 GMT 2024","Sat Sep 28 00:34:49 GMT 2024","615","chromium","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Sat Sep 28 00:34:49 GMT 2024","Sat Sep 28 00:34:50 GMT 2024","681","chromium","demo-todo-app.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Sat Sep 28 00:34:51 GMT 2024","Sat Sep 28 00:34:52 GMT 2024","592","chromium","demo-todo-app.spec.ts","Item","","","should allow me to edit an item",""
"passed","Sat Sep 28 00:34:50 GMT 2024","Sat Sep 28 00:34:51 GMT 2024","796","chromium","demo-todo-app.spec.ts","Routing","","","should respect the back button",""
